,Resource,F-UJI,FAIR-Checker,Std dev
8,Dataset (PANGAEA),91,91.7,0.4949747468305853
5,Gene Ontology (OLS),18,16.7,0.9192388155425123
0,Dataset (Harvard Dataverse),75,79.2,2.9698484809835013
2,Dataset (Kaggle),60,70.8,7.636753236814711
7,Online course (Moodle),4,16.7,8.980256121069154
1,Dataset (Governmental platform),52,70.8,13.293607486307092
3,Dataset (WHO),27,50.0,16.263455967290593
6,Training material (TeSS),39,70.8,22.48599564173221
4,Bioinformatics tool (bio.tools),18,54.2,25.597265478953023
9,Dataset (RDF metadata),43,87.5,31.466251762801363
